Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GAIL,EQ,09-Nov-18,375.15,378,379.2,365.5,367.95,367.35,370.25,4226474,1564872823,59256,2207977,52.24
GAIL,EQ,12-Nov-18,367.35,369,372.5,364,364.5,364.75,367.98,3909494,1438634542,76605,2580750,66.01
GAIL,EQ,13-Nov-18,364.75,364,369.7,362,364.9,365.35,366.14,4018012,1471160216,73575,1718646,42.77
GAIL,EQ,14-Nov-18,365.35,366.2,367.3,349.55,352.5,352.55,353.76,5758948,2037270677,166329,2496414,43.35
GAIL,EQ,15-Nov-18,352.55,350.7,354.4,344,347.5,347.55,348.59,5645791,1968069271,151847,3086952,54.68
GAIL,EQ,16-Nov-18,347.55,349,351.7,341.25,342.7,342.2,344.98,3362427,1159974316,94173,1896662,56.41
GAIL,EQ,19-Nov-18,342.2,342.5,343.6,330.2,334.7,334.7,334.52,5306515,1775149780,87659,2741523,51.66
GAIL,EQ,20-Nov-18,334.7,338.05,346,337.7,344.05,344.05,342.98,6211451,2130383682,92108,1747744,28.14
GAIL,EQ,21-Nov-18,344.05,343,347.25,340.2,345,345.05,344.44,3489643,1201976719,54157,1653004,47.37
GAIL,EQ,22-Nov-18,345.05,345,350,342.6,343.85,344.75,345.74,4228879,1462104457,71515,2066006,48.85
GAIL,EQ,26-Nov-18,344.75,347.4,347.8,338.1,340,339.8,341,4275682,1458027506,80383,2789218,65.23
GAIL,EQ,27-Nov-18,339.8,340,350.05,339.8,349,347.35,343.98,7445471,2561120649,89785,4951085,66.5
GAIL,EQ,28-Nov-18,347.35,349,353.45,336,336.75,339.05,347.12,5905887,2050061029,76146,3545480,60.03
GAIL,EQ,29-Nov-18,339.05,340.45,344.2,337.05,340.3,339.2,339.79,8025122,2726818031,97280,4322169,53.86
GAIL,EQ,30-Nov-18,339.2,342.2,348.25,337.75,342.55,343.05,342.32,5832509,1996612674,97826,3729948,63.95
GAIL,EQ,03-Dec-18,343.05,341,357.4,339.5,355.05,355.65,350.68,6173643,2164976110,94101,3079782,49.89
GAIL,EQ,04-Dec-18,355.65,350.65,359.8,350.65,355.25,354.35,355.58,4735506,1683845876,117609,2377951,50.22
GAIL,EQ,05-Dec-18,354.35,354.7,356.4,347.25,348.85,349.35,350.7,2535122,889076422.9,48298,1337948,52.78
GAIL,EQ,06-Dec-18,349.35,346,350.25,340.5,350,349,346.99,4874145,1691271406,84054,2866370,58.81
GAIL,EQ,07-Dec-18,349,346,347,330.8,335.25,334.7,335.2,7224133,2421516683,73868,3061470,42.38
GAIL,EQ,10-Dec-18,334.7,332.8,337.85,328,332.5,332.05,332.81,4866821,1619745379,82738,2587038,53.16
GAIL,EQ,11-Dec-18,332.05,330.2,335.45,329.7,332.85,332.55,332.34,6985033,2321408549,91565,4417970,63.25
GAIL,EQ,12-Dec-18,332.55,335,345.5,331.1,343.75,344.45,340.14,3841601,1306665100,41704,2067053,53.81
GAIL,EQ,13-Dec-18,344.45,345.45,348.3,340.2,346.5,346.45,344.38,3355227,1155479228,76511,1885639,56.2
GAIL,EQ,14-Dec-18,346.45,346.95,353.2,341.5,351.3,351.25,347.26,2004546,696098753.5,43642,870694,43.44
GAIL,EQ,17-Dec-18,351.25,351.3,355.4,350.6,353.4,353.15,352.89,2135558,753612159,67102,993171,46.51
GAIL,EQ,18-Dec-18,353.15,353,357.2,349.7,354,354.5,354.25,3459455,1225508941,60529,1789050,51.71
GAIL,EQ,19-Dec-18,354.5,356,359.4,352.8,358.45,358.5,356.34,2697995,961406999.2,117153,1755982,65.08
GAIL,EQ,20-Dec-18,358.5,354.3,358,351.6,354.05,353.15,353.69,2399452,848658964.5,52547,1084542,45.2
GAIL,EQ,21-Dec-18,353.15,353,354.2,344.1,345.5,345.05,346.96,4050832,1405486921,48524,2557657,63.14
GAIL,EQ,24-Dec-18,345.05,345.1,350.05,339.85,346.9,347.7,345.74,3472576,1200601320,44323,1914800,55.14
GAIL,EQ,26-Dec-18,347.7,346.4,354.4,342,353.85,353.4,348.07,1912786,665784626,29437,711629,37.2
GAIL,EQ,27-Dec-18,353.4,355,363.5,352.3,355.7,356.45,357.13,18218808,6506541481,76838,13618523,74.75
GAIL,EQ,28-Dec-18,356.45,356.45,361.35,355.05,355.5,356.3,357.61,2961919,1059217018,55106,1525463,51.5
GAIL,EQ,31-Dec-18,356.3,357.6,361.8,354,359.1,360.3,358.39,2659906,953278516.8,51748,1309977,49.25
GAIL,EQ,01-Jan-19,360.3,359,364,356.95,361.9,362.15,361.71,2134503,772078516.1,18978,557883,26.14
GAIL,EQ,02-Jan-19,362.15,360.55,361.9,347.55,350.3,350.3,352.97,3528488,1245457622,56740,1666816,47.24
